tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
100608,AmazonHelp,False,Wed Jan 24 12:06:00 +0000 2026,"@cust_0053 Great question! Echo Dot needs wifi for most features like Alexa requests, though a few local smart home controls may still work. ^KL",,100607
100766,AmazonHelp,False,Wed Jan 19 12:25:00 +0000 2026,@cust_0041 Apologies for the wait on #901173905 -- DM us and I'll check directly with the refunds team on the status. ^MJ,,100765
100476,AmazonHelp,False,Wed Jan 14 12:00:00 +0000 2026,@cust_0120 Apologies for the confusion. Send us a DM with the email on the account and we'll review the cancellation and refund if applicable. ^MJ,,100475
100189,cust_0052,True,Wed Jan 11 12:34:00 +0000 2026,"@AmazonHelp my card was charged $212 but I only bought a $40 item, please explain",100190,
100881,cust_0111,True,Wed Jan 21 12:20:00 +0000 2026,"@AmazonHelp the delivery driver just threw my package over the fence and it landed in the pool, unbelievable",100882,
100654,AmazonHelp,False,Wed Jan 19 12:29:00 +0000 2026,@cust_0046 I'm really sorry to hear that. Please DM us your order number and details so we can look into this and make it right. ^AR,,100653
100760,AmazonHelp,False,Wed Jan 16 12:22:00 +0000 2026,"@cust_0134 Yes! Amazon Household lets you share select Prime benefits with another adult, even at a different address. ^AR",,100759
100237,cust_0117,True,Wed Jan 07 12:58:00 +0000 2026,"@AmazonHelp order #112397776 arrived missing half the parts, box wasn't even sealed properly",100238,
101210,AmazonHelp,False,Wed Jan 17 12:07:00 +0000 2026,@cust_0071 Sorry about that mix-up! Please DM your order number so we can locate your package and get it redelivered. ^MJ,,101209
100529,cust_0128,True,Wed Jan 13 12:24:00 +0000 2026,"@AmazonHelp the blender I ordered arrived with a cracked jar, clearly used not new",100530,
100629,cust_0057,True,Wed Jan 07 12:14:00 +0000 2026,this is the third time this has happened. @AmazonHelp how do I get a refund for an order I never received,100630,
100420,AmazonHelp,False,Wed Jan 14 12:32:00 +0000 2026,"@cust_0128 That's concerning, sorry! Please DM your order number and we'll open a missing-package investigation with the carrier. ^KL",,100419
100837,cust_0044,True,Wed Jan 27 12:58:00 +0000 2026,"worst experience ever, @AmazonHelp packaging was so excessive for one small item, a tiny USB cable in a huge box with tons of air pillows",100838,
100120,AmazonHelp,False,Wed Jan 04 12:02:00 +0000 2026,@cust_0052 Apologies for the confusion. Send us a DM with the email on the account and we'll review the cancellation and refund if applicable. ^MJ,,100119
101291,cust_0029,True,Wed Jan 02 12:45:00 +0000 2026,"@AmazonHelp getting a 2FA code loop, can't get past login on my new phone",101292,
100508,AmazonHelp,False,Wed Jan 02 12:16:00 +0000 2026,@cust_0050 Good question! That Kindle model supports Audible audiobooks via Bluetooth in addition to ebooks. ^KL,,100507
100913,cust_0068,True,Wed Jan 09 12:36:00 +0000 2026,@AmazonHelp how do I cancel my Prime free trial before it charges me,100914,
101219,cust_0004,True,Wed Jan 22 12:09:00 +0000 2026,"this is the third time this has happened. @AmazonHelp received my order today and the item is completely smashed, box was soaking wet too",101220,
100348,AmazonHelp,False,Wed Jan 06 12:56:00 +0000 2026,"@cust_0116 Thanks for the feedback, we're always working to improve packaging. I'll pass this along to the team! ^AR",,100347
100183,cust_0132,True,Wed Jan 08 12:31:00 +0000 2026,"worst experience ever, @AmazonHelp packaging was so excessive for one small item, a tiny USB cable in a huge box with tons of air pillows",100184,
100942,AmazonHelp,False,Wed Jan 23 12:53:00 +0000 2026,@cust_0084 So sorry to see this! Please DM us photos of the damaged item and your order number and we'll get a replacement or refund started. ^AR,,100941
100999,cust_0077,True,Wed Jan 24 12:19:00 +0000 2026,"absolutely done with this. @AmazonHelp locked out of my account after too many failed login attempts, need to get back in urgently",101000,
101014,AmazonHelp,False,Wed Jan 03 12:29:00 +0000 2026,@cust_0045 I'm really sorry to hear that. Please DM us your order number and details so we can look into this and make it right. ^AR,,101013
100836,AmazonHelp,False,Wed Jan 26 12:00:00 +0000 2026,@cust_0068 Please DM us right away -- we'll help secure your account and look into the unauthorized order. ^MJ,,100835
100969,cust_0042,True,Wed Jan 09 12:04:00 +0000 2026,this is the third time this has happened. @AmazonHelp my order #444331837 was supposed to arrive yesterday and tracking hasn't updated in 3 days. where is it??,100970,
101378,AmazonHelp,False,Wed Jan 17 12:31:00 +0000 2026,"@cust_0113 Great question! Echo Dot needs wifi for most features like Alexa requests, though a few local smart home controls may still work. ^KL",,101377
100374,AmazonHelp,False,Wed Jan 19 12:09:00 +0000 2026,@cust_0020 Sorry for the app trouble! DM us the order number and we'll cancel it manually on our end. ^MJ,,100373
100080,AmazonHelp,False,Wed Jan 12 12:42:00 +0000 2026,"@cust_0117 That's concerning, sorry! Please DM your order number and we'll open a missing-package investigation with the carrier. ^KL",,100079
100525,cust_0122,True,Wed Jan 11 12:22:00 +0000 2026,"this is the third time this has happened. @AmazonHelp you sent me the wrong color headphones, I ordered black and got white",100526,
100157,cust_0062,True,Wed Jan 23 12:18:00 +0000 2026,"absolutely done with this. @AmazonHelp packaging was so excessive for one small item, a tiny USB cable in a huge box with tons of air pillows",100158,
100905,cust_0132,True,Wed Jan 05 12:32:00 +0000 2026,@AmazonHelp does the Echo Dot work without wifi at all or is it useless offline?,100906,
100898,AmazonHelp,False,Wed Jan 01 12:31:00 +0000 2026,@cust_0139 I'm really sorry to hear that. Please DM us your order number and details so we can look into this and make it right. ^AR,,100897
101226,AmazonHelp,False,Wed Jan 25 12:15:00 +0000 2026,@cust_0002 Let's see what we can do! DM us both order numbers and we'll try to cancel the duplicate before it ships. ^KL,,101225
100815,cust_0135,True,Wed Jan 16 12:47:00 +0000 2026,@AmazonHelp my order #316933609 was supposed to arrive yesterday and tracking hasn't updated in 3 days. where is it??,100816,
100324,AmazonHelp,False,Wed Jan 22 12:44:00 +0000 2026,"@cust_0061 That doesn't look right, sorry! Please DM your order number and the charge amount so we can investigate immediately. ^KL",,100323
100323,cust_0061,True,Wed Jan 22 12:41:00 +0000 2026,"@AmazonHelp my card was charged $212 but I only bought a $40 item, please explain",100324,
100804,AmazonHelp,False,Wed Jan 10 12:44:00 +0000 2026,@cust_0083 Let's see what we can do! DM us both order numbers and we'll try to cancel the duplicate before it ships. ^KL,,100803
100731,cust_0064,True,Wed Jan 02 12:05:00 +0000 2026,"@AmazonHelp delivery photo shows package at a door that isn't even mine, wrong address entirely",100732,
100267,cust_0004,True,Wed Jan 22 12:13:00 +0000 2026,"worst experience ever, @AmazonHelp the blender I ordered arrived with a cracked jar, clearly used not new",100268,
101088,AmazonHelp,False,Wed Jan 12 12:06:00 +0000 2026,"@cust_0120 Great question! Echo Dot needs wifi for most features like Alexa requests, though a few local smart home controls may still work. ^KL",,101087
100048,AmazonHelp,False,Wed Jan 24 12:26:00 +0000 2026,@cust_0122 Let's get this sorted securely -- please DM us so we can verify your identity and help restore access to your account. ^AR,,100047
100834,AmazonHelp,False,Wed Jan 25 12:59:00 +0000 2026,"@cust_0007 Yes! Amazon Household lets you share select Prime benefits with another adult, even at a different address. ^AR",,100833
100713,cust_0006,True,Wed Jan 21 12:56:00 +0000 2026,"@AmazonHelp order #158404077 says 'out for delivery' for the 4th day in a row now, what's going on",100714,
100506,AmazonHelp,False,Wed Jan 01 12:15:00 +0000 2026,@cust_0051 Sorry for the inconvenience! Can you DM us your device model and app version so our team can look into this? ^KL,,100505
100408,AmazonHelp,False,Wed Jan 08 12:26:00 +0000 2026,@cust_0063 Apologies for the wait on #197403960 -- DM us and I'll check directly with the refunds team on the status. ^MJ,,100407
101356,AmazonHelp,False,Wed Jan 06 12:20:00 +0000 2026,"@cust_0097 Yes! Amazon Household lets you share select Prime benefits with another adult, even at a different address. ^AR",,101355
101107,cust_0028,True,Wed Jan 22 12:13:00 +0000 2026,"worst experience ever, @AmazonHelp accidentally ordered 2 of the same item, need to cancel one of them fast",101108,
100681,cust_0130,True,Wed Jan 05 12:40:00 +0000 2026,"@AmazonHelp my card was charged $212 but I only bought a $40 item, please explain",100682,
100985,cust_0088,True,Wed Jan 17 12:12:00 +0000 2026,"absolutely done with this. @AmazonHelp accidentally ordered 2 of the same item, need to cancel one of them fast",100986,
100302,AmazonHelp,False,Wed Jan 11 12:33:00 +0000 2026,@cust_0012 I understand the frustration. Could you DM your order number and return tracking so I can check the refund status for you? ^MJ,,100301
100796,AmazonHelp,False,Wed Jan 06 12:40:00 +0000 2026,@cust_0123 Sorry for the trouble! DM us the email on file and we'll help you regain access step by step. ^KL,,100795
100571,cust_0060,True,Wed Jan 06 12:45:00 +0000 2026,"@AmazonHelp getting a 2FA code loop, can't get past login on my new phone",100572,
101140,AmazonHelp,False,Wed Jan 10 12:32:00 +0000 2026,"@cust_0067 That's concerning, sorry! Please DM your order number and we'll open a missing-package investigation with the carrier. ^KL",,101139
100004,AmazonHelp,False,Wed Jan 02 12:04:00 +0000 2026,"@cust_0019 That's concerning, sorry! Please DM your order number and we'll open a missing-package investigation with the carrier. ^KL",,100003
100044,AmazonHelp,False,Wed Jan 22 12:24:00 +0000 2026,@cust_0088 Sorry for the lockout! DM us your account email and we'll walk you through regaining access. ^AR,,100043
100900,AmazonHelp,False,Wed Jan 02 12:32:00 +0000 2026,@cust_0132 Sorry for the inconvenience! Can you DM us your device model and app version so our team can look into this? ^KL,,100899
101270,AmazonHelp,False,Wed Jan 19 12:37:00 +0000 2026,"@cust_0084 That's concerning, sorry! Please DM your order number and we'll open a missing-package investigation with the carrier. ^KL",,101269
100885,cust_0065,True,Wed Jan 23 12:22:00 +0000 2026,this is the third time this has happened. @AmazonHelp how do I get a refund for an order I never received,100886,
101272,AmazonHelp,False,Wed Jan 20 12:38:00 +0000 2026,@cust_0064 You can cancel anytime from Your Account > Prime Membership > End Membership. Happy to help if you hit any issues -- just DM us! ^AR,,101271
101068,AmazonHelp,False,Wed Jan 02 12:56:00 +0000 2026,"@cust_0004 No problem, let's try to catch it in time! DM us the order number now and we'll check if it can still be cancelled. ^MJ",,101067
100055,cust_0044,True,Wed Jan 28 12:27:00 +0000 2026,@AmazonHelp how do I cancel my Prime free trial before it charges me,100056,
100445,cust_0136,True,Wed Jan 27 12:42:00 +0000 2026,"this is the third time this has happened. @AmazonHelp my card was charged $212 but I only bought a $40 item, please explain",100446,
100610,AmazonHelp,False,Wed Jan 25 12:07:00 +0000 2026,@cust_0109 We can help with that. Please DM us the order number and we'll start a refund if the carrier confirms it wasn't delivered. ^AR,,100609
100906,AmazonHelp,False,Wed Jan 05 12:35:00 +0000 2026,"@cust_0132 Great question! Echo Dot needs wifi for most features like Alexa requests, though a few local smart home controls may still work. ^KL",,100905
101004,AmazonHelp,False,Wed Jan 26 12:24:00 +0000 2026,"@cust_0013 Great question! Echo Dot needs wifi for most features like Alexa requests, though a few local smart home controls may still work. ^KL",,101003
